"latitude","longitude","price",
37.7069,-122.511,800,
37.7082,-122.513,461,
37.7094,-122.514,154,
37.7107,-122.516,52,
37.7119,-122.517,52,
37.7131,-122.519,52,
37.7144,-122.52,52,
37.7156,-122.522,52,
37.7169,-122.523,52,
37.7181,-122.525,52,
37.7193,-122.526,52,
37.7206,-122.528,52,
37.7218,-122.529,52,
37.7231,-122.531,52,
37.7243,-122.532,52,
37.7256,-122.534,52,
37.7268,-122.535,52,
37.728,-122.536,52,
37.7293,-122.538,52,
37.7305,-122.539,52,
37.7318,-122.541,52,
37.733,-122.542,52,
37.7342,-122.544,52,
37.7355,-122.545,52,
37.7367,-122.547,52,
37.738,-122.548,52,
37.7392,-122.55,52,
37.7405,-122.551,52,
37.7417,-122.553,52,
37.7429,-122.554,52,
37.7442,-122.556,52,
37.7454,-122.557,52,
37.7467,-122.558,52,
37.7479,-122.56,52,
37.7491,-122.561,52,
37.7504,-122.563,52,
37.7516,-122.564,52,
37.7529,-122.566,52,
37.7541,-122.567,52,
37.7554,-122.569,52,
37.7566,-122.57,52,
37.7578,-122.572,52,
37.7591,-122.573,52,
37.7603,-122.575,52,
37.7616,-122.576,52,
37.7628,-122.578,52,
37.764,-122.579,52,
37.7653,-122.58,52,
37.7665,-122.582,52,
37.7678,-122.583,52,
37.769,-122.585,52,
37.7703,-122.586,52,
37.7715,-122.588,212,
37.7727,-122.589,71,
37.774,-122.591,71,
37.7752,-122.592,71,
37.7765,-122.594,71,
37.7777,-122.595,71,
37.7789,-122.597,71,
37.7802,-122.598,71,
37.7814,-122.6,71,
37.7827,-122.601,71,
37.7839,-122.602,71,
37.7852,-122.604,71,
37.7864,-122.605,71,
37.7876,-122.607,71,
37.7889,-122.608,71,
37.7901,-122.61,71,
37.7914,-122.611,71,
37.7926,-122.613,71,
37.7938,-122.614,71,
37.7951,-122.616,71,
37.7963,-122.617,71,
37.7976,-122.619,71,
37.7988,-122.62,71,
37.8001,-122.622,71,
37.8013,-122.623,71,
37.8025,-122.624,218,
37.8038,-122.626,73,
37.805,-122.627,73,
37.8063,-122.629,73,
37.8075,-122.63,73,
37.8087,-122.632,73,
37.81,-122.633,73,
37.8112,-122.635,73,
37.8125,-122.636,73,
37.8137,-122.638,73,
37.815,-122.639,73,
37.8162,-122.641,73,
37.8174,-122.642,267,
37.8187,-122.644,90,
37.8199,-122.645,90,
37.8212,-122.647,90,
37.8224,-122.648,90,
37.8236,-122.649,90,
37.8249,-122.651,283,
37.8261,-122.652,95,
37.8274,-122.654,95,
37.8286,-122.655,289,
37.8299,-122.657,145,
37.8311,-122.658,382,
37.8323,-122.66,581,
37.8336,-122.661,304,
37.8348,-122.663,90,
37.8361,-122.664,102,
37.8373,-122.666,102,
37.8385,-122.667,102,
37.8398,-122.669,102,
37.841,-122.67,102,
37.8423,-122.671,102,
37.8435,-122.673,102,
37.8448,-122.674,102,
37.846,-122.676,102,
37.8472,-122.677,102,
37.8485,-122.679,102,
37.8497,-122.68,102,
37.851,-122.682,102,
37.8522,-122.683,102,
37.8534,-122.685,102,
37.8547,-122.686,102,
37.8559,-122.688,102,
37.8572,-122.689,102,
37.8584,-122.691,102,
37.8597,-122.692,102,
37.8609,-122.693,102,
37.8621,-122.695,102,
37.8634,-122.696,102,
37.8646,-122.698,102,
37.8659,-122.699,102,
37.8671,-122.701,102,
37.8683,-122.702,102,
37.8696,-122.704,102,
37.8708,-122.705,102,
37.8721,-122.707,102,
37.8733,-122.708,102,
37.8746,-122.71,102,
37.8758,-122.711,102,
37.877,-122.713,102,
37.8783,-122.714,102,
37.8795,-122.715,102,
37.8808,-122.717,102,
37.882,-122.718,102,
37.8832,-122.72,102,
37.8845,-122.721,102,
37.8857,-122.723,102,
37.887,-122.724,102,
37.8882,-122.726,102,
37.8895,-122.727,102,
37.8907,-122.729,102,
37.8919,-122.73,102,
37.8932,-122.732,102,
37.8944,-122.733,102,
37.8957,-122.735,79,
37.8969,-122.736,194,
37.8981,-122.737,67,
37.8994,-122.739,65,
37.9006,-122.74,65,
37.9019,-122.742,65,
37.9031,-122.743,65,
37.9044,-122.745,65,
37.9056,-122.746,65,
37.9068,-122.748,65,
37.9081,-122.749,65,
37.9093,-122.751,65,
37.9106,-122.752,65,
37.9118,-122.754,65,
37.913,-122.755,65,
37.9143,-122.757,65,
37.9155,-122.758,65,
37.9168,-122.759,65,
37.918,-122.761,65,
37.9193,-122.762,65,
37.9205,-122.764,65,
37.9217,-122.765,65,
37.923,-122.767,65,
37.9242,-122.768,65,
