id,latitude,longitude,accommodates,price,cleaning_fee,weekly_earnings
10988680,37.75418395,-122.4065138,2,$49.00 ,$25.00 ,180.80
8053481,37.75416621,-122.4215336,4,$220.00 ,$100.00 ,824.00
14011173,37.75850584,-122.4061523,1,$100.00 ,,420.00
16142131,37.75654875,-122.4220251,4,$117.00 ,,491.40
9080622,37.76005055,-122.4213524,1,$200.00 ,,840.00
936209,37.75949488,-122.4248737,1,$162.00 ,$65.00 ,615.40
7048973,37.76099687,-122.4131237,4,$230.00 ,$100.00 ,866.00
7998215,37.75054282,-122.4165585,2,$173.00 ,$65.00 ,661.60
12815115,37.75628818,-122.4087377,4,$600.00 ,,2520.00
10406646,37.75724642,-122.4093147,4,$250.00 ,$95.00 ,955.00
4558566,37.74932935,-122.4107925,6,$300.00 ,$100.00 ,1160.00
2771688,37.7513531,-122.4176588,4,$189.00 ,$95.00 ,698.80
5020057,37.75199246,-122.4042105,2,$130.00 ,,546.00
15151013,37.76142933,-122.4193501,2,$90.00 ,$40.00 ,338.00
4925354,37.76652079,-122.4246601,1,$95.00 ,$20.00 ,379.00
13863669,37.75995514,-122.4241064,6,$325.00 ,$150.00 ,1215.00
5394755,37.75870167,-122.42124,3,$119.00 ,$60.00 ,439.80
8861480,37.76147949,-122.4157135,2,$134.00 ,,562.80
14139656,37.75939066,-122.4211674,6,$490.00 ,$150.00 ,1908.00
7802522,37.74961782,-122.4181314,2,$140.00 ,$25.00 ,563.00
15470227,37.75958581,-122.4100011,2,$185.00 ,$95.00 ,682.00
10756717,37.75560551,-122.4067193,3,$550.00 ,$90.00 ,2220.00
1117756,37.7505213,-122.4073568,2,$113.00 ,$25.00 ,449.60
17588923,37.76832743,-122.4250571,2,$115.00 ,$82.00 ,401.00
7228772,37.76888719,-122.4240599,2,$155.00 ,$30.00 ,621.00
15501322,37.75134306,-122.4226501,1,$45.00 ,$50.00 ,139.00
4624467,37.75506955,-122.4168171,2,$169.00 ,$60.00 ,649.80
856123,37.7622065,-122.4198954,1,$186.00 ,$65.00 ,716.20
9490490,37.753852,-122.4111577,2,$77.00 ,$25.00 ,298.40
865873,37.76251893,-122.4242846,4,$250.00 ,$150.00 ,900.00
6834158,37.76531007,-122.4246905,3,$235.00 ,$62.00 ,925.00
13846498,37.76362666,-122.4253853,2,$80.00 ,$50.00 ,286.00
1101403,37.7681406,-122.4253676,5,$300.00 ,$120.00 ,1140.00
15566812,37.75866765,-122.42388,3,$200.00 ,,840.00
16173016,37.76148205,-122.4092539,2,$200.00 ,$100.00 ,740.00
63405,37.75399609,-122.4177063,2,$125.00 ,$100.00 ,425.00
16857004,37.75328433,-122.4118579,1,$40.00 ,,168.00
11011745,37.75028261,-122.4156194,8,$500.00 ,,2100.00
17697262,37.75813182,-122.4141177,2,$79.00 ,$10.00 ,321.80
13043340,37.75754497,-122.4201252,2,$115.00 ,,483.00
2049672,37.76249605,-122.422603,6,$575.00 ,$150.00 ,2265.00
16272594,37.7580424,-122.4211011,1,$65.00 ,,273.00
10947787,37.75788359,-122.4075305,10,"$2,000.00 ",,8400.00
15873936,37.75456441,-122.4125264,1,$51.00 ,,214.20
11259062,37.75239754,-122.4244804,2,$159.00 ,$90.00 ,577.80
7163038,37.76911001,-122.4119345,2,$120.00 ,,504.00
4533440,37.76862344,-122.4244366,2,$100.00 ,$20.00 ,400.00
14011529,37.76066203,-122.4208268,2,$50.00 ,$5.00 ,205.00
3379430,37.75826018,-122.4083304,2,$80.00 ,,336.00
8029798,37.75596136,-122.4095302,1,$75.00 ,,315.00
1623609,37.75942336,-122.4075424,2,$155.00 ,$50.00 ,601.00
16324639,37.75993231,-122.4213667,4,$250.00 ,$75.00 ,975.00
17501306,37.77021195,-122.4228986,2,$55.00 ,$20.00 ,211.00
591431,37.75065685,-122.4234918,6,$450.00 ,$125.00 ,1765.00
9351735,37.74944922,-122.4095556,6,$250.00 ,$125.00 ,925.00
1962559,37.75375109,-122.4252011,4,$150.00 ,$50.00 ,580.00
6926901,37.75641542,-122.4128513,4,$300.00 ,$100.00 ,1160.00
12366392,37.76772249,-122.422152,2,$170.00 ,$50.00 ,664.00
5943416,37.75151485,-122.4245018,3,$190.00 ,$80.00 ,718.00
1339473,37.75440053,-122.412507,3,$230.00 ,$180.00 ,786.00
10940485,37.75309747,-122.4199679,2,$115.00 ,,483.00
10792779,37.75780405,-122.4214434,1,$95.00 ,$65.00 ,334.00
5414237,37.74970235,-122.4066375,2,$90.00 ,$55.00 ,323.00
6954332,37.76645745,-122.4253543,1,$95.00 ,$30.00 ,369.00
10809367,37.75089762,-122.4148136,2,$350.00 ,$25.00 ,1445.00
815123,37.75110865,-122.4187323,1,$130.00 ,$75.00 ,471.00
1388523,37.75526258,-122.4249664,2,"$4,000.00 ",$50.00 ,16750.00
765914,37.75691789,-122.4111644,3,$349.00 ,$100.00 ,1365.80
225205,37.76096715,-122.4231305,2,$115.00 ,,483.00
6795192,37.75849371,-122.4157999,3,$170.00 ,$85.00 ,629.00
5775177,37.74825404,-122.4176816,2,$115.00 ,$50.00 ,433.00
8907289,37.75267808,-122.4075329,3,$133.00 ,$49.00 ,509.60
13953008,37.76455721,-122.4239801,2,$232.00 ,$50.00 ,924.40
16232349,37.751588,-122.4187695,2,$100.00 ,$20.00 ,400.00
8384398,37.75618418,-122.421447,2,$200.00 ,$80.00 ,760.00
223213,37.7569887,-122.4085638,4,$450.00 ,$100.00 ,1790.00
16363397,37.76313587,-122.4079654,2,$80.00 ,$40.00 ,296.00
5468024,37.74907405,-122.4124016,1,$99.00 ,$25.00 ,390.80
1356129,37.75083547,-122.4234114,2,$145.00 ,$50.00 ,559.00
10710892,37.75857822,-122.4222351,2,$215.00 ,$65.00 ,838.00
16178751,37.75913346,-122.4196755,2,$185.00 ,$80.00 ,697.00
15097007,37.75746793,-122.4125947,1,$350.00 ,,1470.00
16351934,37.76171887,-122.4234831,2,$175.00 ,$40.00 ,695.00
8564563,37.76867194,-122.4178576,4,$165.00 ,$86.00 ,607.00
6852699,37.76379548,-122.425448,2,$149.00 ,,625.80
6336315,37.77017333,-122.4215716,2,$240.00 ,$100.00 ,908.00
2074584,37.76025251,-122.4166307,2,$206.00 ,$60.00 ,805.20
765739,37.75104087,-122.4186658,11,$575.00 ,$150.00 ,2265.00
9525911,37.76764528,-122.4239505,1,$120.00 ,,504.00
11650390,37.75122694,-122.4183758,2,$74.00 ,$30.00 ,280.80
14773204,37.76667538,-122.4170325,2,$105.00 ,,441.00
5470034,37.76054446,-122.421676,2,$59.00 ,$10.00 ,237.80
1814061,37.75110161,-122.4241432,2,$150.00 ,$100.00 ,530.00
2046807,37.76045876,-122.4190438,2,$149.00 ,$50.00 ,575.80
486950,37.75311615,-122.4086315,1,$100.00 ,$150.00 ,270.00
592883,37.75731078,-122.4095373,2,$75.00 ,$85.00 ,230.00
9350676,37.75174324,-122.4162526,2,$299.00 ,$190.00 ,1065.80
1093088,37.76777714,-122.4243382,1,$68.00 ,$12.00 ,273.60
13725185,37.76121341,-122.4086907,2,$99.00 ,$50.00 ,365.80
2502127,37.75297177,-122.4128058,4,$211.00 ,$90.00 ,796.20
16231927,37.75833813,-122.4229128,2,$125.00 ,,525.00
