ELEVATION,Long,Lat
35,-122.5100,37.70407
0,-122.5065,37.70408
305,-122.5036,37.70410
210,-122.5015,37.70411
265,-122.4894,37.70413
10,-122.4826,37.70444
5,-122.4843,37.70477
40,-122.4834,37.70482
380,-122.4856,37.70589
40,-122.4985,37.70798
35,-122.4917,37.70803
0,-122.5075,37.70824
130,-122.5090,37.70827
135,-122.5101,37.70842
90,-122.4073,37.70843
20,-122.5136,37.70846
30,-122.4158,37.70847
-5,-122.4069,37.70852
10,-122.3983,37.70857
20,-122.4165,37.70865
160,-122.4110,37.70866
20,-122.4534,37.70876
155,-122.4216,37.70880
225,-122.5016,37.70881
180,-122.4155,37.70885
130,-122.4025,37.70891
140,-122.3998,37.70903
155,-122.4296,37.70905
100,-122.3999,37.70908
5,-122.3987,37.70909
10,-122.4818,37.70910
10,-122.4280,37.70911
75,-122.4146,37.70915
95,-122.4256,37.70916
110,-122.4510,37.70917
20,-122.4044,37.70927
5,-122.4315,37.70932
5,-122.4235,37.70939
30,-122.4226,37.70940
265,-122.4477,37.70947
15,-122.4039,37.70948
35,-122.4637,37.70950
0,-122.5162,37.70962
260,-122.4468,37.70963
125,-122.4168,37.70964
115,-122.5163,37.70968
355,-122.4867,37.70972
0,-122.4827,37.70976
95,-122.5028,37.70980
15,-122.4781,37.70981
100,-122.5116,37.70993
45,-122.5117,37.70995
5,-122.4210,37.71016
5,-122.4415,37.71017
80,-122.4828,37.71020
-5,-122.4181,37.71024
310,-122.5017,37.71028
20,-122.5051,37.71044
15,-122.4182,37.71045
10,-122.4274,37.71049
10,-122.4222,37.71051
40,-122.4652,37.71055
0,-122.4638,37.71059
5,-122.4669,37.71060
140,-122.4511,37.71065
65,-122.4560,37.71067
5,-122.4578,37.71071
55,-122.5052,37.71079
20,-122.4986,37.71088
70,-122.4526,37.71102
140,-122.4512,37.71103
145,-122.4527,37.71106
230,-122.4321,37.71108
30,-122.5018,37.71118
0,-122.4227,37.71119
0,-122.5029,37.71129
20,-122.4579,37.71133
30,-122.5037,37.71134
25,-122.4223,37.71138
35,-122.4787,37.71140
30,-122.4594,37.71143
175,-122.4702,37.71145
120,-122.4640,37.71148
150,-122.4703,37.71150
115,-122.5038,37.71152
0,-122.4513,37.71155
35,-122.4707,37.71158
0,-122.4607,37.71159
25,-122.4782,37.71162
210,-122.4751,37.71166
35,-122.4535,37.71167
5,-122.4663,37.71171
95,-122.5039,37.71173
0,-122.4549,37.71175
0,-122.4595,37.71179
5,-122.4799,37.71182
0,-122.4528,37.71183
20,-122.4687,37.71186
45,-122.4693,37.71191
95,-122.4183,37.71195
-5,-122.4580,37.71201
90,-122.4184,37.71208
140,-122.4202,37.71216
0,-122.4581,37.71218
5,-122.4484,37.71219
0,-122.5066,37.71223
10,-122.4424,37.71225
30,-122.4177,37.71226
0,-122.4582,37.71230
80,-122.4538,37.71231
25,-122.4608,37.71238
25,-122.4609,37.71240
135,-122.4268,37.71244
95,-122.4392,37.71246
15,-122.4844,37.71248
25,-122.4185,37.71249
145,-122.4569,37.71256
0,-122.4217,37.71257
0,-122.4561,37.71261
15,-122.4570,37.71266
5,-122.4571,37.71268
90,-122.4400,37.71269
5,-122.4927,37.71273
185,-122.4562,37.71276
